stone_id,name,runic,transliteration,translation,page_url,image_url
Sm 141,"Sm 141 - Småland: Medalby, Mellby",,* ---ki : rei... ...ka * broþur *,... resa ... broder,https://www.christerhamp.se/runor/gamla/sm/sm141.html,https://www.christerhamp.se/runor/gamla/sm/sm141s.jpg
Sm 142,"Sm 142 - Småland: Värneslätt, Mellby",,* suin : garþi : kuml : efti... ...as(t)munt : faþur : sin *,"Sven gjorde kumlet efter Fastmund, sin fader",https://www.christerhamp.se/runor/gamla/sm/sm142.html,https://www.christerhamp.se/runor/gamla/sm/sm142s.jpg
Sm 143,"Sm 143 - Småland: Värneslätt, Mellby",,keiRmu...(r) : (l)e(t) × k...ra × kuml af(t)(i)R : --(þ)(k)--R : (f)aþur × sin : kuþ : hialbi : ont : hans :,"Germund lät göra kumlet efter ...ger, sin fader. Gud hjäle hans ande.",https://www.christerhamp.se/runor/gamla/sm/sm143.html,https://www.christerhamp.se/runor/gamla/sm/sm143s.jpg
Sm 144,"Sm 144 - Småland: Gursten, Lofta",,sunuR na ¶ ut smiþ ¶ a kata uifrþaR ...un... kuþaskaki faþi,Sonen fick Kåte Vifridssons smiden. Guda-Skägge utförde (ristningen).,https://www.christerhamp.se/runor/gamla/sm/sm144.html,https://www.christerhamp.se/runor/gamla/sm/sm144s.jpg
Sm 147,Sm 147 - Småland: Västra Eds ödekyrka,,iar-eiR risti * stin þ... ...--r--- * stRalr * k(a)(r)- uniþik(r),Jarger reste dena sten efter ... oniding,https://www.christerhamp.se/runor/gamla/sm/sm147.html,https://www.christerhamp.se/runor/gamla/sm/sm147s.jpg
Sm 152,"Sm 152 - Småland: Sinnerstad, Mörlunda",,...fi * karþ... ... [afti × hk]rulf × faþur sin [uk asr ×] uk * ikir,"... gjorde ... efter Herjulf, sin fader, och [efter] Osur och Ingegerd",https://www.christerhamp.se/runor/gamla/sm/sm152.html,https://www.christerhamp.se/runor/gamla/sm/sm152s.jpg
Sm 154,Sm 154 - Småland: Högsby kyrka,,(s)igtrykR × let × setia × stein × þena × ef(t)iR × haltan × faþur × sin × kuþ × hia(l)... -nt × hans ×,"Sigtrygg lät sätta denna sten efter Halvdan, sin fader. Gud hjälpe hans ande",https://www.christerhamp.se/runor/gamla/sm/sm154.html,https://www.christerhamp.se/runor/gamla/sm/sm154s.jpg
Sm 155,"Sm 155 - Småland: Bötterum, Långemåla",,uti : lit : s... ... faþur sin : ku... ...,Udde lär sätta ... sin gode fader,https://www.christerhamp.se/runor/gamla/sm/sm155.html,https://www.christerhamp.se/runor/gamla/sm/sm155s.jpg
Sm 157,Sm 157 - Småland: Ryssby kyrka,,ilugi * ... [bro iftiR ka]... ...þur sin| |nytan,Illuge [lät göra] bron efter ... sin duktige fader / broder,https://www.christerhamp.se/runor/gamla/sm/sm157.html,https://www.christerhamp.se/runor/gamla/sm/sm157s.jpg
Sm 163,Sm 163 - Småland: Arby kyrka,,...- × r--sa × kuml × iftiR × bofa × ...,... lät resa kumlet efter Bofi ...,https://www.christerhamp.se/runor/gamla/sm/sm163.html,https://www.christerhamp.se/runor/gamla/sm/sm163s.jpg
Sm 164,Sm 164 - Småland: Hossmo kyrka,,iak : biþ : þik : b...-- : at : þu : biþ : na=fnleka : fyrer : þæn : man : s=um : m...k : gio=rþe : ia=ko=b : het : h-...,Jag ber dig att du ber med namn för den man som gjorde mig. Jakob heter han.,https://www.christerhamp.se/runor/gamla/sm/sm164.html,https://www.christerhamp.se/runor/gamla/sm/sm164s.jpg
Sm 165,Sm 165 - Småland: Hossmo kyrka,,...fuþokrhtamiskmtm... ...fuþokrhlamisam ÷ tifuofi...,-,https://www.christerhamp.se/runor/gamla/sm/sm165.html,https://www.christerhamp.se/runor/gamla/sm/sm165s.jpg
Sm 166,Sm 166 - Småland: Hossmo kyrka,,... : þena : yfi... ... salu : k-...,... denna över ... själ ...,https://www.christerhamp.se/runor/gamla/sm/sm166.html,https://www.christerhamp.se/runor/gamla/sm/sm166s.jpg
Sm 167,Sm 167 - Småland: Hossmo kyrka,,...yri ᛫ li... ...,... lät ...,https://www.christerhamp.se/runor/gamla/sm/sm167.html,https://www.christerhamp.se/runor/gamla/sm/sm167s.jpg
Sm 168,Sm 168 - Småland: Hossmo kyrka,,...s----u ᛫ --...,-,https://www.christerhamp.se/runor/gamla/sm/sm168.html,https://www.christerhamp.se/runor/gamla/sm/sm168s.jpg
Sm 169,Sm 169 - Småland: Ljungby kyrka,,(f)iatr ᛫ ouk ᛫ rakn ᛫ þu ᛫ letu ᛫ risþa ᛫ stina ᛫ iutiR ᛫ uitlþa,och Ragna lät rista stenarna efter,https://www.christerhamp.se/runor/gamla/sm/sm169.html,https://www.christerhamp.se/runor/gamla/sm/sm169s.jpg
