Model,Target_Language,BLEU,chrF,chrF++,ROUGE-L,METEOR,Valid_Predictions
qwen3.5-0.8B-ft_en,en,11.11,30.06,28.69,33.36,0.0,100
qwen3.5-0.8B-ft_en,de,2.02,9.86,9.1,7.29,0.0,100
qwen3.5-0.8B-ft_en,sv,0.26,7.5,6.77,0.0,0.0,100
qwen3.5-0.8B-ft_sv,en,2.63,11.19,10.16,0.0,0.0,100
qwen3.5-0.8B-ft_sv,de,1.99,11.68,10.72,0.0,0.0,100
qwen3.5-0.8B-ft_sv,sv,2.96,24.92,23.06,0.0,0.0,100
qwen3.5-0.8B-ft_de,en,2.59,21.44,20.21,30.24,0.0,100
qwen3.5-0.8B-ft_de,de,3.38,23.38,22.16,33.23,0.0,100
qwen3.5-0.8B-ft_de,sv,0.38,9.76,8.78,0.0,0.0,100
